Id,Description,FamilyMember,ConflictingEntity,Source1,Date1,Source2,Date2,Source3,Date3,Category,Notes,DateAddedOrEdited
500,"Former member/president of Trump Marks Westchester LLC, in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income. ",Donald Trump,Trump Marks Westchester LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
501,"Former director/president of Trump Marks White Plains Corp., in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income. ",Donald Trump,Trump Marks White Plains Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
502,"Former member/president of Trump Marks White Plains LLC, in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income. ",Donald Trump,Trump Marks White Plains LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
503,"Former member/president of Trump Miami Resort Management LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Miami Resort Management LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
504,"Former president/director/chairman of Trump Miami Resort Management Member Corp., in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Trump Miami Resort Management Member Corp,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
505,Pres. Trump retains an ownership interest in Trump Model Management LLC. Any current or former positions he may have held with the company have not been disclosed. ,Donald Trump,Trump Model Management LLC,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,Office of Government Ethics,15-Jul-15,potential,,5-Jul-17
506,"Founder of the now-defunct company Trump Mortgage LLC, which folded in 2007.",Donald Trump,Trump Mortgage LLC,Washington Post,29-Feb-16,CNN,14-Mar-16,,,resolved,,5-Jul-17
507,"Pres. Trump retains an ownership interest in Trump National Golf Club - Charlotte. It is not clear whether this business entity is the same as an entity called ""TNGC Charlotte LLC,"" from which he resigned as president in 2017. No positions with Trump National Golf Club - Charlotte have been listed on his financial disclosures; the current activity status and ownership structure of TNGC Charlotte LLC also have not been listed. ",Donald Trump,Trump National Golf Club - Charlotte,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
508,Pres. Trump retains an ownership interest in Trump National Golf Club - Hudson Valley. Any current or former positions he may have held with the company have not been disclosed. ,Donald Trump,Trump National Golf Club - Hudson Valley,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,Office of Government Ethics,15-Jul-15,potential,,5-Jul-17
509,"Former president/member of Trump National Golf Club Colts Neck LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump National Golf Club Colts Neck LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
510,"Former president/director/chairman of Trump National Golf Club Colts Neck Member Corp., in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Trump National Golf Club Colts Neck Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
511,"Former president of Trump National Golf Club LLC (Trump National Golf Club - Westchester), in which Pres. Trump retains ownership interests. ",Donald Trump,Trump National Golf Club LLC (Trump National Golf Club - Westchester),Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
512,"Former president/director/chairman of Trump National Golf Club Member Corp., in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Trump National Golf Club Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
513,"Former president of Trump National Golf Club Washington DC LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump National Golf Club Washington DC LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
514,"Former president/director/chairman of Trump National Golf Club Washington DC Member Corp., in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Trump National Golf Club Washington DC Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
515,"Former president of Trump Ocean Manager Inc. The company, owned by Trump, was reportedly dissolved on Nov. 10, 2016.",Donald Trump,Trump Ocean Manager Inc. ,Office of Government Ethics,14-Jun-17,,,,,resolved,,5-Jul-17
516,"Former president of Trump Ocean Managing Member LLC (resigned 2015). The company's ownership structure is unclear: Trump's 2016 financial disclosures indicate he owned the firm, but it was not listed on his disclosures in 2017.",Donald Trump,Trump Ocean Managing Member LLC,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,,,potential,,5-Jul-17
517,"Former president/member of Trump Old Post Office LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,Trump Old Post Office LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
518,"Former president/director/chairman of Trump Old Post Office Member Corp., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Trump Old Post Office Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
519,"Former president of Trump On the Ocean LLC (resigned 2015). The company's ownership structure is unclear: Trump's 2016 financial disclosures indicate he held an ownership interest, but it was not listed on his disclosures in 2017.",Donald Trump,Trump On the Ocean LLC ,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,,,potential,,5-Jul-17
520,"Former chairman and president/member of the now-dormant or inactive Trump Organization LLC, of which Pres. Trump retains an ownership interest. ",Donald Trump,Trump Organization LLC (D/B/A The Trump Organization),Office of Government Ethics,14-Jun-17,Newsweek,23-Sep-16,Washington Post,17-Jun-16,active,,5-Jul-17
521,"Former director and chairman/president of Trump Pageants, Inc., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,"Trump Pageants, Inc.",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
522,"Former president of Trump Palace Condominium, a condominium association. Its ownership structure is not clear; it has not been reported on any of his financial disclosures.",Donald Trump,Trump Palace Condominium ,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,Office of Government Ethics,15-Jul-15,potential,,5-Jul-17
523,"Former member of Trump Palace/Parc LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,Trump Palace/Parc LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
524,"Former president/member of the now-dormant or inactive Trump Panama Condominium Management LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,Trump Panama Condominium Management LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
525,"Former president/director/chairman of the now-dormant or inactive Trump Panama Condominium Member Corp., in which Pres. Trump retains an ownership interest. ",Donald Trump,Trump Panama Condominium Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
526,"Former member of Trump Panama Hotel Management LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,Trump Panama Hotel Management LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
527,"Former president/director/chairman of the now-dormant or inactive Trump Panama Hotel Management Member Corp., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Trump Panama Hotel Management Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
528,"Former president of Trump Parc East Condominium, a condominium association. Its ownership structure is not clear; it has not been reported on any of his financial disclosures.",Donald Trump,Trump Parc East Condominium ,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,Office of Government Ethics,15-Jul-15,potential,,5-Jul-17
529,"Former president/member of Trump Park Avenue Acquisition LLC, in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Trump Park Avenue Acquisition LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
530,"Former president of Trump Park Avenue LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,Trump Park Avenue LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
531,"Former president of Trump Payroll Chicago LLC, in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and provides back office support functions to other entities. ",Donald Trump,Trump Payroll Chicago LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
532,"Former president/treasurer/secretary/director of Trump Payroll Corp., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and provides back office support functions to other entities. ",Donald Trump,Trump Payroll Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
533,"Former president/member of the now-dormant or inactive Trump Phoenix Development LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,Trump Phoenix Development LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
534,"Former member of Trump Plaza LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,Trump Plaza LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
535,"Former president/director/treasurer of Trump Plaza Member Inc. (F/K/A Trump Plaza Corp.), in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Trump Plaza Member Inc. (F/K/A Trump Plaza Corp.),Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
536,"Former president/member of Trump Production Managing Member Inc., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Trump Production Managing Member Inc.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
537,"Former director/chairman/president/treasurer/secretary of Trump Productions LLC (F/K/A Rancho Lien LLC), in which Pres. Trump retains an ownership interest. ",Donald Trump,Trump Productions LLC (F/K/A Rancho Lien LLC),Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
538,"Former president of Trump Project Management Corp. The company, owned by Trump, was reportedly dissolved on Nov. 10, 2016.",Donald Trump,Trump Project Management Corp.,Office of Government Ethics,14-Jun-17,,,,,resolved,,5-Jul-17
539,Former president/member of Trump Properties LLC (resigned 2014). Its ownership structure is not clear; it has not been reported on any of his financial disclosures.,Donald Trump,Trump Properties LLC ,Office of Government Ethics,18-May-16,Office of Government Ethics,18-May-16,Office of Government Ethics,15-Jul-15,potential,,5-Jul-17
540,"Former president/member of Trump Realty Services, LLC (F/K/A Trump Mortgage Services LLC (03) & Tower Mortgage Services LLC), in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, is not inactive nor dormant, and is not part of an entity structure or license deal.",Donald Trump,"Trump Realty Services, LLC (F/K/A Trump Mortgage Services LLC (03) & Tower Mortgage Services LLC)",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
541,"Former president/member of Trump Restaurants LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,Trump Restaurants LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
542,"Former member of the now-dormant or inactive Trump Riverside Management LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,Trump Riverside Management LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
543,"Former president of Trump Ruffin Commercial LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,Trump Ruffin Commercial LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
544,"Former president of Trump Ruffin LLC, in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Trump Ruffin LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
545,"Former president and director of Trump Ruffin Tower I LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,Trump Ruffin Tower I LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
546,"Former member/director of Trump Sales & Leasing Chicago LLC, in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, is not inactive nor dormant, and is not part of an entity structure or license deal.",Donald Trump,Trump Sales & Leasing Chicago LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
547,"Former member/director/president of Trump Sales & Leasing Chicago Member Corp., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Trump Sales & Leasing Chicago Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
548,"Former director/chairman/president of Trump Scotland Member Inc., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Trump Scotland Member Inc.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
549,"Former president of Trump Scotsborough Square LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,Trump Scotsborough Square LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
550,"Former director/chairman/president of Trump Scotsborough Square Member Corp., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Trump Scotsborough Square Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
551,"Former member of the board of Trump SoHo Hotel Condominium New York, a condomunium association. Its ownership structure is not clear; it has not been reported on any of his financial disclosures.",Donald Trump,Trump SoHo Hotel Condominium New York ,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,Office of Government Ethics,15-Jul-15,potential,,5-Jul-17
552,"Former member/president of the now-dormant or inactive Trump Soho Member LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,Trump Soho Member LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
553,"Former president/director/secretary of Trump Toronto Development Inc., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income. ",Donald Trump,Trump Toronto Development Inc.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
554,"Former president of Trump Toronto Hotel Management Corp., in which Pres. Trump retains an ownership interest. ",Donald Trump,Trump Toronto Hotel Management Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
555,"Former director/chairman of the now-dormant or inactive Trump Toronto Member Corp. (F/K/A Trump Toronto Management Member Corp.), in which Pres. Trump retains an ownership interest. ",Donald Trump,Trump Toronto Member Corp. (F/K/A Trump Toronto Management Member Corp.),Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
556,"Former president of Trump Tower Commercial LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,Trump Tower Commercial LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
557,Former president of Trump Tower Condominium Residential Section. The company's ownership structure is not clear; it has not been reported on any of his financial disclosures.,Donald Trump,Trump Tower Condominium Residential Section,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,Office of Government Ethics,15-Jul-15,potential,,5-Jul-17
558,"Former president of Trump Tower Managing Member Inc., in which Pres. Trump retains an ownership interest. ",Donald Trump,Trump Tower Managing Member Inc.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
559,"According to the Washington Post, Donald Trump’s business empire has earned up to $10 million since 2014 for branding rights to Trump Towers Istanbul —  a luxury development owned by a Turkish oil and media conglomerate that ""has become an influential megaphone for the country’s increasingly repressive regime."" ",Donald Trump,Trump Towers Istanbul,Washington Post,20-Nov-16,,,,,active,,5-Jul-17
560,"Former director/vice-president of Trump Village Construction Corp., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Trump Village Construction Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
561,"Former president of Trump Vineyard Estates LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,Trump Vineyard Estates LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
562,"Former president of Trump Vineyard Estates Lot 3 Owner LLC (F/K/A Eric Trump Land Holdings LLC), in which Pres. Trump retains an ownership interest. ",Donald Trump,Trump Vineyard Estates Lot 3 Owner LLC (F/K/A Eric Trump Land Holdings LLC),Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
563,"Former president/director/chairman of Trump Vineyard Estates Manager Corp., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Trump Vineyard Estates Manager Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
564,"Former member/president of Trump Virginia Acquisitions LLC (F/K/A Virginia Acquisitions LLC), in which Pres. Trump retains an ownership interest. ",Donald Trump,Trump Virginia Acquisitions LLC (F/K/A Virginia Acquisitions LLC),Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
565,"Former president/director/chairman of Trump Virginia Acquisitions Manager Corp., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Trump Virginia Acquisitions Manager Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
566,"Former president of Trump Virginia Lot 5 LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,Trump Virginia Lot 5 LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
567,"Former president/director/chairman of Trump Virginia Lot 5 Manager Corp., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Trump Virginia Lot 5 Manager Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
568,"Former president/secretary/treasurer of the now-dormant or inactive Trump Wine Marks LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,Trump Wine Marks LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
569,"Former director & chairman/president of the now-dormant or inactive Trump Wine Marks Member Corp., in which Pres. Trump retains an ownership interest. ",Donald Trump,Trump Wine Marks Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
570,"Former president/member of Trump World Productions LLC, in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income. ",Donald Trump,Trump World Productions LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
571,"Former president/director/chairman of Trump World Productions Manager Corp., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income. ",Donald Trump,Trump World Productions Manager Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
572,"Former member/president of the now-dormant or inactive Trump World Productions, in which Pres. Trump retains an ownership interest.",Donald Trump,Trump World Publications,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
573,"Former president of the now-dormant or inactive Trump's Castle Management Corp., in which Pres. Trump retains an ownership interest. ",Donald Trump,Trump's Castle Management Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
574,"Former president of the now-dormant or inactive Trump New World Property Management LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,Trump/New World Property Management LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
575,Former trustee of Trust U/W/O Fred C. Trump - Elizabeth Trump Grau. The trust's current activity status and control structures are not reported. ,Donald Trump,Trust U/W/O Fred C. Trump - Elizabeth Trump Grau,Office of Government Ethics,14-Jun-17,,,,,active,"Although Trump has resigned as a trustee, it remains for the benefit of one of his immediate family members, and therefore is classified as ""confirmed."" ",5-Jul-17
576,Former trustee of Trust U/W/O Fred C. Trump - F/B/O the grandchildren of Fred C. Trump. The trust's current activity status and control structures are not reported. ,Donald Trump,Trust U/W/O Fred C. Trump - F/B/O the grandchildren of Fred C. Trump,Office of Government Ethics,14-Jun-17,,,,,active,"Although Trump has resigned as a trustee, it remains for the benefit of one of his immediate family members, and therefore is classified as ""confirmed."" ",5-Jul-17
577,Pres. Trump reportedly resigned from any position with the Trust U/W/O Fred C. Trump- Tiffany Ariana Trump. His former position with the trust is not reported on his 2017 financial disclosure. The trust's current activity status and control structures also are not reported. ,Donald Trump,Trust U/W/O Fred C. Trump- Tiffany Ariana Trump,CNN,23-Jan-17,,,,,active,"Although Trump has resigned as a trustee, it remains for the benefit of one of his immediate family members, and therefore is classified as ""confirmed."" ",5-Jul-17
578,"Former president of Turnberry Scotland LLC, in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Turnberry Scotland LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
579,"Former director/chairman/president of Turnberry Scotland Managing Member Corp., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Turnberry Scotland Managing Member Corp,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
580,"Former president of TW Venture I LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,TW Venture I LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
581,"Former director/chairman/president of TW Venture I Managing Member Corp., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,TW Venture I Managing Member Corp,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
582,"Former president of TW Venture II LLC, in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,TW Venture II LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
583,"Former director/chairman/president of TW Venture II Managing Member Corp., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,TW Venture II Managing Member Corp,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
584,"Former president/treasurer/secretary/director of the now-dormant or inactive Ultimate Air Corp., in which Pres. Trump retains an ownership interest. ",Donald Trump,Ultimate Air Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
585,"Former president/director of Unit 2502 Enterprises Corp., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Unit 2502 Enterprises Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
586,"Former president/member of Unit 2502 Enterprises LLC, in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, is not inactive nor dormant, and is not part of an entity structure or license deal.",Donald Trump,Unit 2502 Enterprises LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
587,"Former secretary/president/director of VH Property Corp. (Trump National Golf Club - Los Angeles), in which Pres. Trump retains an ownership interest. ",Donald Trump,VH Property Corp. (Trump National Golf Club - Los Angeles),Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
588,"Former president/member of VHPS LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,VHPS LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
589,"Former member/president of West Palm Operations LLC, in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, is not inactive nor dormant, and is not part of an entity structure or license deal.",Donald Trump,West Palm Operations LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
590,"Former director/vice-president of the now-dormant or inactive Wexford Hall Inc., in which Pres. Trump retains an ownership interest. ",Donald Trump,Wexford Hall Inc.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
591,"Former president White Course LLC, in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, is not inactive nor dormant, and is not part of an entity structure or license deal.",Donald Trump,White Course LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
592,"Former director/chairman/president of White Course Managing Member Corp., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,White Course Managing Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
593,"Pres. Trump reportedly resigned from any positions with the William Trump Medical Fund LLC the day before his inauguration in January 2017. However, its current activity status and ownership structure are unclear, as the company has never been reported on his financial disclosures. His specific position with the company also has not been disclosed. ",Donald Trump,William Trump Medical Fund LLC,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,Office of Government Ethics,15-Jul-15,potential,,5-Jul-17
594,"Former member of the now-dormant or inactive Wilshire Hall LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,Wilshire Hall LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
595,Former president/secretary/treasurer/managing member of WMTMF LLC. The company's ownership structure is unclear; it was not listed on any of Trump's financial disclosures. ,Donald Trump,WMTMF LLC,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,Office of Government Ethics,15-Jul-15,potential,,5-Jul-17
596,"Former member/president of Wollman Rink Operations LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,Wollman Rink Operations LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
597,"Former member/president of the now-dormant or inactive Yorktown Real Estate LLC (F/K/A Yorktown Development Associates LLC), in which Pres. Trump retains an ownership interest. ",Donald Trump,Yorktown Real Estate LLC (F/K/A Yorktown Development Associates LLC),Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
598,Trump’s stock in oil pipeline company,Donald Trump,,Bloomberg Politics,23-Nov-16,,,,,active,,5-Jul-17
599,Businessmen from India meet with President-elect Trump,Donald Trump,,Economic Times,16-Nov-16,,,,,active,,5-Jul-17
600,Trump has telephone call with Taiwan president where the Trump Organization reportedly is looking at building hotels. (“Beijing... regards the island as a renegade province.”),Donald Trump,,Financial Times,?,Shanghaiist,18-Nov-16,,,active,,5-Jul-17
601,"His stock portfolio (which reportedly includes shares in banks, pharma, and oil). The transition has stated the portfolio (which according to a May financial disclosure also includes Boeing) was sold in June, but has not presented evidence of that move.",Donald Trump,,Forbes,29-Nov-16,,,,,active,,5-Jul-17
602,Trump children (who will run business) on transition team. Donald Trump Jr. reportedly is involved in Secretary of Interior selection process,Donald Trump,,Huffington Post,11-Nov-16,Politico,14-Dec-16,Politico,14-Dec-16,active,,5-Jul-17
603,"Turkish newspapers reporting that Trump praised his Turkish business partner in a call with Turkish President Erdogan. Erdogan has reportedly arrested a businessman from Dogan, the company which works with Trump to possibly have leverage for the return of Gulen to Turkey.",Donald Trump,,Huffington Post,23-Nov-16,Newsweek,13-Dec-16,,,active,,5-Jul-17
604,Trademarks registered around the world,Donald Trump,,New York Times,26-Nov-16,,,,,active,,5-Jul-17
605,Trump named properties could present global security risk (per former White House ethics lawyer),Donald Trump,,New York Times,1-Dec-16,,,,,active,,5-Jul-17
606,Russian Foreign Minister saying they were in touch with Trump campaign,Donald Trump,,New York Times,10-Nov-16,,,,,active,,5-Jul-17
607,Trump said to have told British politician Nigel Farage to oppose wind farm near his Scottish golf course (then lobbying in a tweet for Farage to become ambassador to the U.S.),Donald Trump,,New York Times,21-Nov-16,@realDonaldTrump,21-Nov-16,,,active,,5-Jul-17
608,Philippines appoints man building Trump Tower (licensed under the Trump name) in Manila as “special envoy.” President Duterte has said Trump expressed support for his drug war which has been criticized as an abuse of human rights.,Donald Trump,,NPR,22-Nov-16,Bloomberg Politics,22-Nov-16,Newsweek,13-Dec-16,active,,5-Jul-17
609,Sold tickets to Mar-a-Lago New Year’s Eve party,Donald Trump,,Politico,30-Dec-16,,,,,active,,5-Jul-17
610,Trump currently facing investigation by Department of Labor.,Donald Trump,,Politico,22-Jun-16,,,,,active,,5-Jul-17
611,Debt with foreign banks some now facing federal fines,Donald Trump,,Washington Post,"Sept. 30, 2016",,,,,active,,5-Jul-17
612,Foreign diplomats at Trump Hotel in DC,Donald Trump,,Washington Post,18-Nov-16,,,,,active,,5-Jul-17
613,Long-stalled Trump Tower project in resort town in former Soviet republic of Georgia moves forward,Donald Trump,,Washington Post,25-Nov-16,,,,,active,,5-Jul-17
614,"Self-dealing (Using nonprofit to help self, business or family) reported in Trump Foundation 2015 Tax return posted on Guidestar.",Donald Trump,,Washington Post,22-Nov-16,,,,,active,,5-Jul-17
615,Trump team denies they asked for security clearance for Trump children,Donald Trump,,CNN,17-Nov-16,,,,,potential,,5-Jul-17
