description,familyMember,conflictingEntity,category,notes,dateChanged
"Jared Kushner received None (or less than $201) in (income type not disclosed) income from Powershares Nasdaq 100 ETF (QQQ) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Powershares Nasdaq 100 Etf (Qqq)",Active, "",09/18/2017
"Jared Kushner received $1,001 - $2,500 in (income type not disclosed) income from POWERSHARES S&amp;P 500 DOWNSIDE HEDGED PORTFOLIO ETF (PHDG) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Powershares S&Amp;P 500 Downside Hedged Portfolio Etf (Phdg)",Active, "",09/18/2017
"Jared Kushner received $15,001 - $50,000 in (income type not disclosed) income from POWERSHARES S&amp;P 500 LOW VOLATILITY PORTFOLIO ETF (SPLV) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Powershares S&Amp;P 500 Low Volatility Portfolio Etf (Splv)",Active, "",09/18/2017
"Jared Kushner served as Member of President-Elect&#39;s Transition Team from Nov 1, 2016, to Jan 1, 2017.",Jared Kushner,"President-Elect&#39;S Transition Team",Resolved, "",09/18/2017
"Jared Kushner received $50,001 - $100,000 in Rent or Royalties income from PRINCETON HORIZON APARTMENTS (Residential Real Estate in South Brunswick, NJ) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Princeton Horizon Apartments (Residential Real Estate In South Brunswick, NJ)",Active, "",09/18/2017
"Jared Kushner received None (or less than $201) in (income type not disclosed) income from PRINCIPAL SM-MD CP DIV P (PMDPX) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Principal Sm-Md Cp Div P (Pmdpx)",Active, "",09/18/2017
"Jared Kushner received None (or less than $201) in (income type not disclosed) income from PRINCIPAL SM-MID CP DIV P (PMDPX) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Principal Sm-Mid Cp Div P (Pmdpx)",Active, "",09/18/2017
"Jared Kushner received $1,000,001 - $5,000,000 in Rent or Royalties income from PUCK BUILDING, LP (Commercial Real Estate in New York, NY) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Puck Building, Lp (Commercial Real Estate In New York, NY)",Active, "",09/18/2017
"Jared Kushner received $100,001 - $1,000,000 in Rent or Royalties income from PUCK BUILDING, LP (Commercial Real Estate in New York, NY) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Puck Building, Lp (Commercial Real Estate In New York, NY)",Active, "",09/18/2017
"Jared Kushner received $100,001 - $1,000,000 in Rent or Royalties income from PUCK BUILDING, LP (Commercial Real Estate in New York, NY) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Puck Building, Lp (Commercial Real Estate In New York, NY)",Active, "",09/18/2017
"Jared Kushner received Over $5,000,000 in Rent or Royalties income from PUCK RESIDENTIAL ASSOCIATES, LLC (Residential Real Estate in New York, NY and Leonia, NJ) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Puck Residential Associates, LLC (Residential Real Estate In New York, NY And Leonia, NJ)",Active, "",09/18/2017
"Jared Kushner served as Board Member of Quadro Partners, Inc. (d/b/a Cadre) (Real Estate Platform) from May 1, 2015, to Jan 1, 2017. Jared Kushner received None (or less than $201) in (income type not disclosed) income from Quadro Partners (d/b/a Cadre) (Real Estate Investment Platform in New York, NY) the year before his appointment as Pres. Trump&#39;s senior adviser. Kushner&#39;s financial disclosure states: &quot;(Kushner) has been and will continue to be recused from particular matters in the broker-dealer, real estate, and online financial services sectors to the extent they would have a direct and predictable effect on Cadre.&quot; However, because he retains ownership in the asset, this database categorizes the potential conflict as &quot;active.&quot;",Jared Kushner,"Quadro Partners, Inc. (D/B/A Cadre) (Real Estate Investment Platform In New York, NY",Active, "Kushner&#39;s financial disclosure states: &quot;(Kushner) has been and will continue to be recused from particular matters in the broker-dealer, real estate, and online financial services sectors to the extent they would have a direct and predictable effect on Cadre.&quot; However, because he retains ownership in the asset, this database categorizes the potential conflict as &quot;active.&quot; Quadro Parnters Inc. owns at least a 75 percent stake in RealCadre LLC, which does business as the online investment firm Cadre. Jared Kushner&#39;s company JCK Cadre LLC owns 25 to 50 percent of Quadro Partners.",09/18/2017
"Jared Kushner served as Board Member of Real Estate Board of New York (REBNY) (Real Estate Organization) from Jun 1, 2008, to Jan 1, 2017.",Jared Kushner,"Real Estate Board Of New York (Rebny) (Real Estate Organization)",Resolved, "Because Jared Kushner has resigned his position(s) with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Jared Kushner received None (or less than $201) in (income type not disclosed) income from REGAL BANK (Shares of Corp. Stock; Livingston, NJ) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Regal Bank (Shares Of Corp. Stock; Livingston, NJ)",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $100,001 - $1,000,000 in Rent or Royalties income from RIVER EDGE APARTMENTS (Residential Real Estate in Ewing, NJ) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"River Edge Apartments (Residential Real Estate In Ewing, NJ)",Active, "",09/18/2017
"Jared Kushner served as Executive Vice-President &amp; Authorized Signatory of Riverhead Reeves Building Corp. (Residential Real Estate in Riverhead, NY) from Feb 1, 2007, to Jan 1, 2017.",Jared Kushner,"Riverhead Reeves Building Corp. (Residential Real Estate In Riverhead, NY)",Resolved, "Because Jared Kushner has resigned his position(s) with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Jared Kushner served as Vice-President &amp; Authorized Signatory of Riverhead Sound Associates LLC (Residential Real Estate in Riverhead, NY) from Feb 1, 2007, to Jan 1, 2017.",Jared Kushner,"Riverhead Sound Associates LLC (Residential Real Estate In Riverhead, NY)",Resolved, "Because Jared Kushner has resigned his position(s) with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Jared Kushner served as Executive Vice-President &amp; Authorized Signatory of Riverhead Sound Building Corp. (Residential Real Estate in Riverhead, NY) from Feb 1, 2007, to Jan 1, 2017.",Jared Kushner,"Riverhead Sound Building Corp. (Residential Real Estate In Riverhead, NY)",Resolved, "Because Jared Kushner has resigned his position(s) with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Jared Kushner received $5,001 - $15,000 in (income type not disclosed) income from RIVERNORTH/DOUBLELINE STRATEGIC INCOME FUND I (RNSIX) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Rivernorth/Doubleline Strategic Income Fund I (Rnsix)",Active, "",09/18/2017
"Jared Kushner received $1,001 - $2,500 in Dividends Capital Gains income from ROCKWELL AUTOMATION INC the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Rockwell Automation Inc",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $201 - $1,000 in Dividends Capital Gains income from ROCKWELL AUTOMATION INC the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Rockwell Automation Inc",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $1,001 - $2,500 in Dividends Capital Gains income from ROCKWELL AUTOMATION INC the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Rockwell Automation Inc",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $100,001 - $1,000,000 in Rent or Royalties income from ROUTE 10 ASSOCIATES, LLC (Industrial Real Estate in Whippany, NJ) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Route 10 Associates, LLC (Industrial Real Estate In Whippany, NJ)",Active, "",09/18/2017
"Jared Kushner received $15,001 - $50,000 in Rent or Royalties income from ROUTE 10 ASSOCIATES, LLC (Industrial Real Estate in Whippany, NJ) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Route 10 Associates, LLC (Industrial Real Estate In Whippany, NJ)",Active, "",09/18/2017
"Jared Kushner served as Executive Committee &amp; Key Person of RP/K Kent Avenue, LLC from Aug 1, 2014, to Jan 1, 2017.",Jared Kushner,"Rp/K Kent Avenue, LLC",Resolved, "Because Jared Kushner has resigned his position(s) with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Jared Kushner served as of Rues Lane Building Corp. (Real Estate in East Brunswick, NJ) from Feb 1, 2007, to Jan 1, 2017.",Jared Kushner,"Rues Lane Building Corp. (Real Estate In East Brunswick, NJ)",Resolved, "Because Jared Kushner has resigned his position(s) with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Jared Kushner received $201 - $1,000 in Interest income from SALES TAX ASSET RECEIVABLE CORP NY RFDG FISCAL 2015 SER A, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Sales Tax Asset Receivable Corp NY Rfdg Fiscal 2015 Ser A, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $201 - $1,000 in Capital Gains Dividends income from SCHLUMBERGER LTD NETHERLANDS ANTILLES the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Schlumberger Ltd Netherlands Antilles",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $201 - $1,000 in Dividends Capital Gains income from SCHLUMBERGER LTD NETHERLANDS ANTILLES the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Schlumberger Ltd Netherlands Antilles",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received None (or less than $201) in (income type not disclosed) income from SCHLUMBERGER LTD NETHERLANDS ANTILLES the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Schlumberger Ltd Netherlands Antilles",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $2,501 - $5,000 in Rent or Royalties income from SCHOOLHOUSE JV (Commercial Real Estate in Milburn, NJ) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Schoolhouse Jv (Commercial Real Estate In Milburn, NJ)",Active, "",09/18/2017
"Jared Kushner owes $1,000,001 - $5,000,000 in revolving debt to Signature Bank. The Unsecured line of credit was incurred in 2016 at a rate of PRIME+0.5% (4% F).",Jared Kushner,"Signature Bank",Active, "",09/18/2017
"Jared Kushner owes $1,000,001 - $5,000,000 in revolving debt to Signature Bank. The Secured line of credit was incurred in 2016 at a rate of PRIME+0.5% (4% F).",Jared Kushner,"Signature Bank",Active, "",09/18/2017
"Jared Kushner received $15,001 - $50,000 in Capital Gains income from SIGNATURE BANK NEW YORK NY the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Signature Bank New York NY",Active, "",09/18/2017
"Jared Kushner received $15,001 - $50,000 in Capital Gains income from SIGNATURE BANK NEW YORK NY the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Signature Bank New York NY",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $5,001 - $15,000 in Capital Gains income from SIGNATURE BANK NEW YORK NY the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Signature Bank New York NY",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $100,001 - $1,000,000 in Capital Gains income from SIGNATURE BANK NEW YORK NY the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Signature Bank New York NY",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $15,001 - $50,000 in Dividends Interest Capital Gains income from Sixty Capital Fund (Hedge Fund) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Sixty Capital Fund (Hedge Fund)",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $50,001 - $100,000 in Rent or Royalties income from SIXTY ONE ASSOCIATES, LLC (Commercial Real Estate in New York, NY) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Sixty One Associates, LLC (Commercial Real Estate In New York, NY)",Active, "",09/18/2017
"Jared Kushner received $50,001 - $100,000 in Rent or Royalties income from SIXTY-SIX WEST ASSOCIATES, LLC (Commercial Real Estate in Livingston, NJ) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Sixty-Six West Associates, LLC (Commercial Real Estate In Livingston, NJ)",Active, "",09/18/2017
"Jared Kushner served as Managing Member of Skyline JV GP, LLC (Residential Real Estate in Hasbrouck Heights, NJ) from May 1, 2012, to Jan 1, 2017.",Jared Kushner,"Skyline Jv Gp, LLC (Residential Real Estate In Hasbrouck Heights, NJ)",Resolved, "Because Jared Kushner has resigned his position(s) with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Jared Kushner served as Non-member Manager of Skyline Kushner, LLC from May 1, 2012, to Jan 1, 2017. Jared Kushner received $100,001 - $1,000,000 in Rent or Royalties income from SKYLINE KUSHNER, LLC (Residential Real Estate in Hasbrouck Heights &amp; Lodi, NJ) the year before his appointment as Pres. Trump&#39;s senior adviser. Because there is no indication his interest in this entity has been divested or placed into a blind trust, it is marked in this database as an active potential conflict of interest.",Jared Kushner,"Skyline Kushner, LLC (Residential Real Estate In Hasbrouck Heights &Amp; Lodi, NJ)",Active, "",09/18/2017
"Jared Kushner received $50,001 - $100,000 in Rent or Royalties income from SKYTOP GARDENS (Residential Real Estate in Sayreville, NJ) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Skytop Gardens (Residential Real Estate In Sayreville, NJ)",Active, "",09/18/2017
"Jared Kushner received $15,001 - $50,000 in Capital Gains income from SQ ASSOCIATES, LLC (Financial investments in Square Mile Partners, LP; New York, NY) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Sq Associates, LLC (Financial Investments In Square Mile Partners, Lp; New York, NY)",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $5,001 - $15,000 in Capital Gains income from SQK ASSOCIATES, LLC (Financial investments in Square Mile Partners, LP; New York, NY) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Sqk Associates, LLC (Financial Investments In Square Mile Partners, Lp; New York, NY)",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received None (or less than $201) in (income type not disclosed) income from SSGA Bond Index Fund the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Ssga Bond Index Fund",Active, "",09/18/2017
"Jared Kushner served as Manager of ST Leonia, LLC from Mar 1, 2016, to Jan 1, 2017.",Jared Kushner,"St Leonia, LLC",Resolved, "Because Jared Kushner has resigned his position(s) with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Jared Kushner received $15,001 - $50,000 in Rent or Royalties income from STATE TOWER OF SYRACUSE ASSOCIATES, LLC (Residential Real Estate in Leonia, NJ) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"State Tower Of Syracuse Associates, LLC (Residential Real Estate In Leonia, NJ)",Active, "",09/18/2017
"Jared Kushner served as Vice President of STB Building Corp. (Residential Real Estate in Leonia, NJ) from Mar 1, 2016, to Jan 1, 2017.",Jared Kushner,"Stb Building Corp. (Residential Real Estate In Leonia, NJ)",Resolved, "Because Jared Kushner has resigned his position(s) with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Jared Kushner served as Non-member Manager of Stone 16 Associates, LLC from Mar 1, 2015, to Jan 1, 2017. Jared Kushner received $50,001 - $100,000 in Rent or Royalties income from STONE 16 ASSOCIATES, LLC (Residential Real Estate in New York, NY) the year before his appointment as Pres. Trump&#39;s senior adviser. Because there is no indication his interest in this entity has been divested or placed into a blind trust, it is marked in this database as an active potential conflict of interest.",Jared Kushner,"Stone 16 Associates, LLC",Active, "",09/18/2017
"Jared Kushner served as Vice President of Stone Portfolio LLC from Feb 1, 2015, to Jan 1, 2017.",Jared Kushner,"Stone Portfolio LLC",Resolved, "Because Jared Kushner has resigned his position(s) with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Jared Kushner served as Special Member of Sunnydale Estates Property Owner LLC from Jun 1, 2013, to Jan 1, 2017.",Jared Kushner,"Sunnydale Estates Property Owner LLC",Resolved, "Because Jared Kushner has resigned his position(s) with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Jared Kushner received $1,001 - $2,500 in Rent or Royalties income from TAYLOR EDISON JV (Industrial Real Estate in Edison, NJ) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Taylor Edison Jv (Industrial Real Estate In Edison, NJ)",Active, "",09/18/2017
"Jared Kushner received $2,501 - $5,000 in (income type not disclosed) income from TEMPLETON GLOBAL BOND ADV (TGBAX) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Templeton Global Bond Adv (Tgbax)",Active, "",09/18/2017
"Jared Kushner received $2,501 - $5,000 in (income type not disclosed) income from TEMPLETON GLOBAL INCOME FUND (GIM) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Templeton Global Income Fund (Gim)",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $15,001 - $50,000 in Rent or Royalties income from THE LANDINGS AT HARBORSIDE, LLC (Residential Real Estate and Undeveloped Assets in Perth Amboy, NJ) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"The Landings At Harborside, LLC (Residential Real Estate And Undeveloped Assets In Perth Amboy, NJ)",Active, "",09/18/2017
"Jared Kushner served as Executive Vice-President &amp; Authorized Signatory of The Landings, Inc. (Real Estate in Perth Amboy, New Jersey) from Feb 1, 2007, to Jan 1, 2017.",Jared Kushner,"The Landings, Inc. (Real Estate In Perth Amboy, New Jersey)",Resolved, "Because Jared Kushner has resigned his position(s) with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Jared Kushner received $100,001 - $1,000,000 in (income type not disclosed) income from The Obsidian Fund LLC Class C the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"The Obsidian Fund LLC Class C",Resolved, "This asset has been divested. Kushner&#39;s financial disclosure states that &quot;Redemption value fixed as on Jan. 1, 2017. Filer and his family lack control over, and knowledge of, the underlying assets held by the fund at the position level. 2016 and 2017 income estimated based on 2015 K-1 statement.&quot; Due to the blind nature of the assets, this potential conflict is marked as resolved.",09/18/2017
"Jared Kushner received $5,001 - $15,000 in Rent or Royalties income from THE PINES APARTMENTS (Residential Real Estate in Elizabeth, NJ) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"The Pines Apartments (Residential Real Estate In Elizabeth, NJ)",Active, "",09/18/2017
"Jared Kushner served as Vice President of Thirty Corp. (Office Space in Florham Park, NJ) from Mar 1, 2012, to Jan 1, 2017.",Jared Kushner,"Thirty Corp. (Office Space In Florham Park, NJ)",Resolved, "Because Jared Kushner has resigned his position(s) with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Jared Kushner served as Successor Manager of Thirty Vreeland Associates, LLC from Sep 1, 2012, to Jan 1, 2017.",Jared Kushner,"Thirty Vreeland Associates, LLC",Resolved, "Because Jared Kushner has resigned his position(s) with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Jared Kushner received $201 - $1,000 in (income type not disclosed) income from THORNBURG INTL VALUE FUND I (TGVIX) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Thornburg Intl VAlue Fund I (Tgvix)",Active, "",09/18/2017
"Jared Kushner served as Investment Committee Member of Thrive Capital Partners II, LP from Aug 1, 2011, to Jan 1, 2017. Jared Kushner received $100,001 - $1,000,000 in Capital Gains Interest income from Thrive Capital Partners II, LP (Financial investments; New York, NY) the year before his appointment as Pres. Trump&#39;s senior adviser. Because his interest in this entity reportedly has been divested, the potential conflict of interest is marked in this database as resolved.",Jared Kushner,"Thrive Capital Partners Ii, Lp",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner served as Investment Committee Member of Thrive Capital Partners III, LP from Aug 1, 2012, to Jan 1, 2017. Jared Kushner received $1,000,001 - $5,000,000 in Capital Gains Interest income from Thrive Capital Partners III, LP (Financial investments; New York, NY) the year before his appointment as Pres. Trump&#39;s senior adviser. Because his interest in this entity reportedly has been divested, the potential conflict of interest is marked in this database as resolved.",Jared Kushner,"Thrive Capital Partners Iii, Lp",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner served as Board Member of Thrive Capital Partners LLC (Venture Capital Firm) from May 1, 2010, to Jan 1, 2017. Thrive Capital was founded by his brother, Joshua Kushner. The firm claims prominent investments — Kickstarter and Slack among them.",Jared Kushner,"Thrive Capital Partners LLC (Venture Capital Firm)",Active, "",09/18/2017
"Jared Kushner received $1,000,001 - $5,000,000 in Capital Gains income from THRIVE PARTNERS II GP, LLC (interest in venture capital fund; New York, NY) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Thrive Partners Ii Gp, LLC (Interest In Venture Capital Fund; New York, NY)",Resolved, "This asset has been divested. Its underlying assets were not disclosed &quot;due to preexisting confidentiality agreement.&quot;",09/18/2017
"Jared Kushner received Over $5,000,000 in Capital Gains income from THRIVE PARTNERS III GP, LLC (interest in venture capital fund; New York, NY) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Thrive Partners Iii Gp, LLC (Interest In Venture Capital Fund; New York, NY)",Resolved, "This asset has been divested. Its underlying assets were not disclosed &quot;due to preexisting confidentiality agreement.&quot;",09/18/2017
"Jared Kushner served as Managing Member of Times Square Associates, LLC from Oct 1, 2015, to Jan 1, 2017. Although Jared Kushner has resigned his position(s) with this entity, it is also disclosed an asset; therefore, this database marks the potential conflict of interest as active.",Jared Kushner,"Times Square Associates, LLC",Active, "Although Jared Kushner has resigned his position(s) with this entity, it is also disclosed an asset; therefore, this database marks the potential conflict of interest as active.",09/18/2017
"Jared Kushner received $1,000,001 - $5,000,000 in Rent or Royalties income from TIMES SQUARE ASSOCIATES, LLC (Commercial Real Estate in New York, NY) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Times Square Associates, LLC (Commercial Real Estate In New York, NY)",Active, "",09/18/2017
"Jared Kushner received $1,000,001 - $5,000,000 in Rent or Royalties income from TIMES SQUARE ASSOCIATES, LLC (Commercial Real Estate in New York, NY) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Times Square Associates, LLC (Commercial Real Estate In New York, NY)",Active, "",09/18/2017
"Jared Kushner received $50,001 - $100,000 in Rent or Royalties income from TOV MANOR ASSOCIATES, LP (Residential Real Estate in New Brunswick, NJ) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Tov Manor Associates, Lp (Residential Real Estate In New Brunswick, NJ)",Active, "",09/18/2017
"Jared Kushner received None (or less than $201) in (income type not disclosed) income from Treasury Note the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Treasury Note",Active, "",09/18/2017
"Jared Kushner received None (or less than $201) in (income type not disclosed) income from Treasury Note the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Treasury Note",Active, "",09/18/2017
"Jared Kushner received None (or less than $201) in (income type not disclosed) income from Treasury Note the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Treasury Note",Active, "",09/18/2017
"Jared Kushner received None (or less than $201) in (income type not disclosed) income from Treasury Note the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Treasury Note",Active, "",09/18/2017
"Jared Kushner received None (or less than $201) in (income type not disclosed) income from Treasury Note the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Treasury Note",Active, "",09/18/2017
"Jared Kushner received None (or less than $201) in (income type not disclosed) income from Treasury Note the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Treasury Note",Active, "",09/18/2017
"Jared Kushner received None (or less than $201) in (income type not disclosed) income from Treasury Note the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Treasury Note",Active, "",09/18/2017
"Jared Kushner received None (or less than $201) in (income type not disclosed) income from Treasury Note the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Treasury Note",Active, "",09/18/2017
"Jared Kushner received None (or less than $201) in (income type not disclosed) income from Treasury Note the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Treasury Note",Active, "",09/18/2017
"Jared Kushner received None (or less than $201) in (income type not disclosed) income from Treasury Note the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Treasury Note",Active, "",09/18/2017
"Jared Kushner received None (or less than $201) in (income type not disclosed) income from Treasury Note the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Treasury Note",Active, "",09/18/2017
"Jared Kushner received None (or less than $201) in (income type not disclosed) income from Treasury Note the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Treasury Note",Active, "",09/18/2017
"Jared Kushner received None (or less than $201) in (income type not disclosed) income from Treasury Note the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Treasury Note",Active, "",09/18/2017
"Jared Kushner received None (or less than $201) in (income type not disclosed) income from Treasury Note the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Treasury Note",Active, "",09/18/2017
"Jared Kushner received income from nine different sources reported collectively as Trust #1 the year before his appointment as Pres. Trump&#39;s senior adviser. See individual trust components for source valuations, types and income generated.",Jared Kushner,"Trust #1: Elmwood V. Associates, Lp (Commercial Real Estate In Chicago, Il); Landings Apartments, LLC (Commercial Real Estate In Chicago, Il); Oakwood Garden Associates, LLC (Commercial Real Estate In Chicago, Il); Wallkill Apartments Associates, Lp (Commercial Real Estate In Chicago, Il); Village Kf 4-9-10 Associates, LLC (Residential Real Estate In New York, NY); Puck Building, Lp (Commercial Real Estate In New York, NY); U.S. Bank Account #1 (Checking); Bruckner Plaza Center, LLC (Commercial Real Estate In New York, NY); Development Corporation For Israel/Israel Bonds)",Active, "",09/18/2017
